               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092858,            0.032974,                   0,             0.17602,             0.37135,             0.16675,            0.043019,            0.061136,            0.020348,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.059083,            0.027422,                   0,             0.75303,             0.72414,             0.80395,             0.35984,             0.04213,            0.016444,                   0,            0.055577,           0.0045766,           0.0045766
                   2,            0.051137,            0.021373,                   0,             0.56953,             0.65252,             0.62065,             0.25666,            0.045758,            0.010797,                   0,            0.032423,           0.0064232,           0.0064232
                   3,            0.048648,            0.019018,                   0,             0.65211,             0.72149,             0.73859,             0.40138,            0.042942,            0.010185,                   0,           0.0089398,           0.0079398,           0.0079398
                   4,            0.043385,            0.017279,                   0,             0.53318,             0.84222,             0.67369,             0.35902,            0.041089,            0.010128,                   0,             0.00736,             0.00736,             0.00736
                   5,             0.03875,            0.016154,                   0,             0.61197,             0.85411,             0.71782,              0.3706,             0.04231,           0.0099691,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.034747,            0.014778,                   0,             0.92275,             0.91777,             0.94838,             0.52036,            0.033243,           0.0086975,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.032569,            0.014338,                   0,             0.92584,             0.92727,              0.9484,             0.62535,            0.026058,            0.008178,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.029317,            0.013748,                   0,             0.94169,             0.89961,             0.95244,             0.62226,             0.02926,           0.0080113,                   0,             0.00538,             0.00538,             0.00538
                   9,             0.02905,            0.013502,                   0,             0.90545,             0.93983,             0.95147,             0.65035,            0.026997,           0.0077685,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.027266,            0.013412,                   0,             0.88698,             0.95759,             0.95325,             0.62731,             0.02624,           0.0078971,                   0,             0.00406,             0.00406,             0.00406
                  11,            0.025543,            0.013106,                   0,              0.9289,              0.9496,             0.96847,             0.66901,             0.02397,           0.0073319,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.024194,              0.0136,                   0,             0.96113,             0.91834,             0.96277,              0.6822,            0.022947,           0.0074274,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.023335,            0.012646,                   0,             0.95772,             0.90129,             0.96454,             0.67501,            0.023023,           0.0076551,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.022371,            0.011545,                   0,             0.93804,             0.92838,              0.9689,             0.69769,            0.022516,           0.0072917,                   0,             0.00142,             0.00142,             0.00142
