                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.86909,                0.48366,                 1.0732,                0.90947,                0.87939,                0.92402,                0.62496,                 1.2149,                0.68895,                 1.3821,              0.0083665,              0.0083665,              0.0083665
                     35,                0.85043,                0.47442,                 1.0747,                0.93521,                0.95721,                0.96085,                0.65884,                  1.147,                0.56211,                 1.3545,               0.008317,               0.008317,               0.008317
                     36,                0.83478,                0.46963,                 1.0668,                0.90773,                 0.8939,                0.93762,                0.61491,                 1.2372,                0.65678,                 1.4118,              0.0082675,              0.0082675,              0.0082675
                     37,                0.85548,                0.47081,                 1.0589,                0.91699,                 0.8497,                0.91905,                0.62353,                  1.226,                0.73595,                 1.3706,               0.008218,               0.008218,               0.008218
                     38,                0.84115,                0.47326,                 1.0632,                0.92823,                0.92633,                0.95637,                0.65612,                 1.1643,                0.58658,                 1.3317,              0.0081685,              0.0081685,              0.0081685
                     39,                0.82802,                 0.4633,                 1.0612,                0.92416,                0.93103,                0.95596,                 0.6614,                 1.1423,                0.54315,                 1.2965,               0.008119,               0.008119,               0.008119
                     40,                0.84723,                0.46013,                 1.0708,                0.92429,                0.90186,                0.95157,                0.65575,                 1.1699,                0.59831,                 1.2935,              0.0080695,              0.0080695,              0.0080695
                     41,                0.83117,                0.46051,                 1.0483,                0.92444,                 0.8382,                0.92056,                0.53853,                 1.4543,                 0.7209,                 1.4232,                0.00802,                0.00802,                0.00802
                     42,                0.83087,                0.46588,                 1.0582,                0.95362,                 0.9272,                  0.968,                  0.658,                 1.1485,                0.54293,                 1.3165,              0.0079705,              0.0079705,              0.0079705
                     43,                0.83213,                 0.4597,                 1.0543,                0.92451,                0.92838,                0.95978,                0.65403,                 1.1532,                0.56542,                 1.3427,               0.007921,               0.007921,               0.007921
                     44,                0.84418,                 0.4743,                 1.0631,                0.92672,                 0.9392,                0.96539,                0.67458,                 1.1503,                0.57479,                 1.3126,              0.0078715,              0.0078715,              0.0078715
                     45,                0.82832,                0.46095,                 1.0534,                0.93957,                0.94849,                0.96612,                0.65778,                  1.189,                0.52387,                 1.2797,               0.007822,               0.007822,               0.007822
                     46,                0.81546,                0.46027,                 1.0395,                0.95006,                0.93634,                0.97018,                0.67718,                 1.1424,                0.54109,                 1.2985,              0.0077725,              0.0077725,              0.0077725
                     47,                0.82067,                0.46032,                 1.0364,                0.92162,                 0.9496,                0.96405,                0.67133,                 1.1337,                0.52694,                 1.2847,               0.007723,               0.007723,               0.007723
                     48,                0.80835,                0.45081,                 1.0389,                0.94991,                0.90552,                0.96322,                 0.6646,                 1.1373,                 0.5446,                 1.2957,              0.0076735,              0.0076735,              0.0076735
                     49,                0.81471,                 0.4433,                 1.0483,                0.93597,                0.93063,                0.96461,                0.67582,                 1.1301,                0.55101,                 1.3107,               0.007624,               0.007624,               0.007624
                     50,                0.78536,                0.44335,                 1.0355,                0.91018,                0.92042,                0.94789,                0.63752,                  1.211,                0.58851,                 1.3678,              0.0075745,              0.0075745,              0.0075745
                     51,                0.79061,                0.43448,                 1.0328,                0.91585,                0.95756,                0.96135,                0.65557,                 1.1499,                0.51488,                 1.3151,               0.007525,               0.007525,               0.007525
