                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.69135,                  0.388,                0.98901,                 0.9521,                0.94908,                0.96819,                0.69648,                 1.0827,                 0.4782,                 1.2515,                 0.0847,                 0.0017,                 0.0017
                      1,                0.69207,                0.37221,                0.99675,                0.94756,                0.93369,                0.96353,                0.70042,                 1.0898,                0.51042,                 1.2584,               0.068483,              0.0034827,              0.0034827
                      2,                0.71386,                0.38338,                0.99186,                0.93928,                 0.9438,                0.96619,                0.69379,                  1.108,                0.50536,                 1.2397,               0.052248,              0.0052475,              0.0052475
                      3,                0.74239,                0.40472,                 1.0033,                0.93426,                 0.9443,                0.95983,                0.68584,                 1.1035,                0.51867,                 1.2656,               0.035995,              0.0069946,              0.0069946
                      4,                0.78799,                0.44273,                 1.0368,                0.92784,                0.91512,                0.94922,                0.64813,                 1.1451,                0.57864,                 1.2843,               0.019724,              0.0087238,              0.0087238
                      5,                0.84715,                0.46698,                 1.0539,                0.92441,                0.89125,                0.94008,                0.62927,                 1.1603,                0.63227,                 1.3331,              0.0097525,              0.0097525,              0.0097525
                      6,                 0.9031,                0.52046,                 1.0884,                0.91539,                0.86093,                0.92359,                0.60789,                 1.2168,                0.71944,                 1.3041,              0.0097525,              0.0097525,              0.0097525
                      7,                0.91775,                0.51937,                 1.1002,                0.89181,                0.85942,                0.92334,                0.60134,                 1.2894,                 0.8092,                 1.3435,               0.009703,               0.009703,               0.009703
                      8,                0.92892,                0.52414,                 1.1066,                0.92576,                0.86003,                0.91461,                0.58485,                 1.2597,                0.67341,                 1.3865,              0.0096535,              0.0096535,              0.0096535
                      9,                0.94528,                0.54329,                 1.1089,                0.88267,                 0.7321,                0.80414,                0.53403,                 1.2519,                0.97968,                 1.4012,               0.009604,               0.009604,               0.009604
                     10,                0.93003,                0.52947,                 1.1104,                 0.9168,                0.87003,                0.93021,                0.61819,                 1.1979,                0.67857,                 1.3446,              0.0095545,              0.0095545,              0.0095545
                     11,                0.93034,                0.54101,                 1.0987,                0.83791,                0.72944,                0.81057,                0.53387,                  1.253,                 1.0053,                 1.3571,               0.009505,               0.009505,               0.009505
                     12,                0.92584,                0.54395,                 1.1072,                0.91323,                0.80637,                0.87271,                0.57481,                 1.2398,                0.77856,                 1.3582,              0.0094555,              0.0094555,              0.0094555
                     13,                0.96481,                0.54752,                 1.1269,                0.89732,                0.90981,                0.94259,                0.60593,                 1.2639,                0.62752,                  1.373,               0.009406,               0.009406,               0.009406
                     14,                0.93248,                0.53169,                 1.0918,                0.88794,                0.90377,                0.92131,                0.60187,                 1.2056,                 0.6735,                 1.3208,              0.0093565,              0.0093565,              0.0093565
                     15,                 0.9244,                0.53345,                 1.0974,                0.88932,                 0.7931,                0.87582,                0.53153,                 1.3688,                0.83582,                 1.4227,               0.009307,               0.009307,               0.009307
                     16,                0.94085,                0.53222,                 1.1067,                0.92338,                0.89503,                0.93456,                0.62462,                 1.2102,                0.64437,                  1.348,              0.0092575,              0.0092575,              0.0092575
                     17,                0.93735,                 0.5448,                  1.118,                0.88235,                 0.8952,                0.93114,                0.61063,                 1.2393,                0.65442,                 1.4125,               0.009208,               0.009208,               0.009208
                     18,                0.94051,                  0.537,                 1.1157,                0.83418,                 0.7931,                0.85064,                0.55956,                 1.2422,                 1.0151,                 1.3529,              0.0091585,              0.0091585,              0.0091585
                     19,                0.90328,                0.51703,                 1.0905,                0.90363,                0.84563,                0.90257,                0.57648,                 1.2896,                0.69972,                 1.3362,               0.009109,               0.009109,               0.009109
                     20,                0.91314,                0.52443,                 1.0841,                0.89927,                0.85146,                0.91362,                0.58999,                 1.3072,                0.78089,                 1.3272,              0.0090595,              0.0090595,              0.0090595
                     21,                 0.9174,                0.52214,                 1.0959,                0.89875,                0.93369,                0.95653,                0.65237,                 1.1483,                0.58604,                 1.3028,                0.00901,                0.00901,                0.00901
                     22,                0.91031,                0.51699,                 1.0966,                0.93653,                 0.8992,                0.95342,                 0.6416,                 1.1804,                0.60341,                  1.326,              0.0089605,              0.0089605,              0.0089605
                     23,                0.89025,                 0.5084,                 1.0824,                0.89016,                0.85989,                0.93004,                0.60318,                 1.2636,                 0.7387,                  1.422,               0.008911,               0.008911,               0.008911
                     24,                0.91016,                0.51909,                 1.0907,                0.86252,                0.79045,                0.86008,                0.55633,                 1.2985,                0.89452,                 1.4256,              0.0088615,              0.0088615,              0.0088615
                     25,                0.88692,                0.51377,                 1.0836,                0.91366,                0.92633,                0.95555,                0.63803,                 1.2265,                0.60485,                 1.3663,               0.008812,               0.008812,               0.008812
                     26,                0.87957,                0.50093,                 1.0758,                0.92794,                0.93899,                0.95615,                0.65553,                 1.1514,                0.57562,                 1.2733,              0.0087625,              0.0087625,              0.0087625
                     27,                0.88808,                0.50473,                 1.0833,                 0.8958,                0.88936,                0.93541,                0.62977,                 1.1845,                0.60205,                 1.3566,               0.008713,               0.008713,               0.008713
                     28,                 0.8605,                0.49143,                 1.0642,                0.91334,                0.93899,                0.96177,                0.67556,                 1.1095,                0.56402,                 1.2619,              0.0086635,              0.0086635,              0.0086635
                     29,                0.87447,                0.49164,                 1.0788,                0.87267,                  0.909,                0.93419,                 0.6342,                 1.1419,                0.63024,                 1.3038,               0.008614,               0.008614,               0.008614
                     30,                0.85108,                0.48231,                 1.0724,                0.91305,                0.90186,                0.95101,                0.65301,                 1.1577,                0.63089,                 1.3454,              0.0085645,              0.0085645,              0.0085645
                     31,                 0.8581,                0.48579,                 1.0774,                0.94579,                0.92555,                0.96639,                0.66029,                 1.1662,                 0.5373,                  1.317,               0.008515,               0.008515,               0.008515
                     32,                0.87144,                0.48324,                 1.0804,                0.91439,                0.93103,                0.95204,                0.63865,                 1.1645,                0.59177,                 1.3008,              0.0084655,              0.0084655,              0.0084655
                     33,                0.86818,                0.49405,                 1.0742,                0.92973,                0.91245,                0.95814,                0.67252,                 1.1097,                0.56295,                  1.238,               0.008416,               0.008416,               0.008416
