               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.022688,            0.010878,                   0,             0.94662,             0.96286,             0.97008,             0.68346,            0.022951,           0.0071995,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.022211,             0.01128,                   0,             0.93213,             0.96817,             0.97339,              0.6819,            0.022691,           0.0073427,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.021373,            0.010601,                   0,             0.91252,             0.97347,             0.96813,             0.69192,            0.024456,           0.0073333,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.021668,            0.010689,                   0,             0.92474,             0.94521,             0.96356,             0.67108,            0.023965,           0.0074225,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.020668,            0.010278,                   0,              0.9402,             0.94695,             0.97289,             0.70203,            0.022782,             0.00742,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.021409,            0.010373,                   0,              0.9498,             0.95491,             0.97712,             0.68775,            0.022957,           0.0071397,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.021049,            0.010678,                   0,              0.9584,             0.95491,             0.97569,             0.66707,            0.024797,           0.0072402,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.020702,            0.010257,                   0,             0.96484,              0.9443,             0.96759,             0.69227,            0.023773,           0.0073588,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.020398,            0.010186,                   0,             0.93912,             0.95225,             0.97891,             0.70242,            0.022717,           0.0071711,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.019964,            0.010418,                   0,             0.96149,              0.9272,             0.97777,              0.6848,            0.023549,           0.0076574,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.021053,            0.010339,                   0,             0.93086,             0.96419,             0.97977,             0.70132,            0.022962,           0.0073457,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.020348,           0.0099198,                   0,             0.94437,             0.94569,             0.97454,             0.69416,            0.022936,           0.0075839,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.020521,             0.01032,                   0,             0.95911,             0.93103,             0.97826,             0.68991,            0.024049,           0.0077185,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.019834,            0.010322,                   0,             0.94511,             0.95914,             0.97593,             0.69615,            0.023059,           0.0076534,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.020431,            0.010202,                   0,             0.92276,              0.9506,             0.96735,             0.69202,            0.023757,           0.0074847,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.019486,           0.0097079,                   0,             0.93678,             0.95225,             0.97356,             0.70587,            0.022152,           0.0076158,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.019521,            0.010117,                   0,             0.93744,             0.96021,             0.97814,             0.70336,            0.023105,           0.0074998,                   0,            0.008218,            0.008218,            0.008218
                  56,             0.01977,            0.010255,                   0,             0.93536,             0.95491,             0.98014,             0.69452,            0.023169,           0.0073377,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.019553,             0.01004,                   0,             0.94206,             0.90575,             0.96712,             0.68279,            0.023645,           0.0077999,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.019087,            0.010004,                   0,             0.95165,             0.94695,             0.97541,             0.66278,            0.025303,           0.0076598,                   0,            0.008119,            0.008119,            0.008119
